league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills
LFL,BK ROG Esports,Galions,Ambessa,Jarvan IV,Azir,Ezreal,Neeko,Poppy,Naafiri,Hwei,Miss Fortune,Rell,20
HM,Tan'i eSports CZ,Nightbirds,Renekton,Ivern,Corki,Ezreal,Maokai,Gangplank,Rengar,Orianna,Kai'Sa,Leona,32
TCL,Eternal Fire,Bushido Wildcats,Gwen,Zed,Taliyah,Ezreal,Braum,Akali,Vi,Orianna,Kai'Sa,Rell,37
LFL,Ici Japon Corp. Esport,Vitality.Bee,Ambessa,Maokai,Akali,Jhin,Neeko,Renekton,Skarner,Azir,Corki,Rell,27
LFL,Vitality.Bee,Ici Japon Corp. Esport,Gwen,Naafiri,Annie,Sivir,Nautilus,Vladimir,Vi,Orianna,Jinx,Alistar,30
NACL,Winthrop University,DarkZero Dragonsteel,Jayce,Pantheon,Taliyah,Jhin,Leona,Shen,Xin Zhao,Azir,Ezreal,Rakan,43
NACL,Winthrop University,DarkZero Dragonsteel,Aatrox,Poppy,Viktor,Varus,Karma,Rumble,Vi,Aurora,Miss Fortune,Neeko,28
NACL,DarkZero Dragonsteel,Winthrop University,Ambessa,Sejuani,Sylas,Tristana,Alistar,Renekton,Lillia,Zed,Xayah,Maokai,39
NACL,Near Airport,Pulse Star,Gwen,Vi,Yone,Jinx,Thresh,Rumble,Sejuani,Corki,Jhin,Nautilus,48
NACL,Pulse Star,Near Airport,Shen,Naafiri,Ryze,Miss Fortune,Rakan,Jax,Xin Zhao,Orianna,Xayah,Alistar,30
NACL,Luminosity Gaming,Supernova,Gwen,Pantheon,Hwei,Miss Fortune,Shen,Ambessa,Xin Zhao,Viktor,Xayah,Rakan,31
NACL,Luminosity Gaming,Supernova,Sion,Wukong,Annie,Lucian,Milio,Aatrox,Dr. Mundo,Orianna,Jinx,Lulu,23
LCK,Dplus KIA,T1,Rumble,Naafiri,Ahri,Kai'Sa,Leona,Gwen,Pantheon,Azir,Jhin,Rell,27
LCK,Dplus KIA,T1,K'Sante,Wukong,Ryze,Varus,Braum,Camille,Sejuani,Taliyah,Miss Fortune,Alistar,42
LPL,EDward Gaming,Royal Never Give Up,Sion,Xin Zhao,Sylas,Xayah,Rakan,Shen,Vi,Ahri,Kai'Sa,Rell,26
LCK,Gen.G,BNK FEARX,Jayce,Pantheon,Ahri,Xayah,Rakan,Gwen,Wukong,Azir,Ezreal,Leona,25
LPL,Royal Never Give Up,EDward Gaming,Rumble,Viego,Ornn,Varus,Renata Glasc,K'Sante,Skarner,Taliyah,Kalista,Neeko,25
LPL,EDward Gaming,Royal Never Give Up,Renekton,Lillia,Azir,Corki,Nautilus,Jax,Ambessa,Aurelion Sol,Sivir,Alistar,28
LCK,BNK FEARX,Gen.G,Aurora,Naafiri,Sylas,Lucian,Nami,Rumble,Zed,Galio,Zeri,Lulu,22
LCP,GAM Esports,Chiefs Esports Club,Gwen,Nocturne,Ryze,Kalista,Neeko,Jax,Naafiri,Ahri,Varus,Nautilus,17
LPL,Anyone's Legend,Weibo Gaming,Galio,Xin Zhao,Taliyah,Miss Fortune,Leona,Rumble,Pantheon,Ahri,Jhin,Alistar,28
LCP,Chiefs Esports Club,GAM Esports,K'Sante,Sejuani,Yone,Kai'Sa,Leona,Rumble,Skarner,Corki,Xayah,Rakan,24
LPL,Weibo Gaming,Anyone's Legend,Jayce,Skarner,Ryze,Zeri,Lulu,Gwen,Poppy,Annie,Ezreal,Neeko,23
LCP,Fukuoka SoftBank HAWKS gaming,PSG Talon,Yorick,Pantheon,Taliyah,Kai'Sa,Rell,Renekton,Skarner,Azir,Ezreal,Alistar,21
LPL,Bilibili Gaming,Team WE,Rumble,Xin Zhao,Sylas,Ezreal,Neeko,Galio,Viego,Taliyah,Varus,Nautilus,39
LCP,PSG Talon,Fukuoka SoftBank HAWKS gaming,Rumble,Sejuani,Yone,Lucian,Nami,Ornn,Wukong,Akali,Varus,Braum,35
LCP,PSG Talon,Fukuoka SoftBank HAWKS gaming,Ambessa,Nidalee,Hwei,Miss Fortune,Nautilus,Sion,Lillia,Ryze,Corki,Leona,22
LPL,Team WE,Bilibili Gaming,Shen,Graves,Annie,Lucian,Nami,Yorick,Poppy,Akali,Caitlyn,Lux,28
LTA S,Isurus Estral,paiN Gaming,Jayce,Pantheon,Azir,Ezreal,Karma,Sion,Xin Zhao,Ahri,Lucian,Nami,25
LEC,SK Gaming,G2 Esports,Jayce,Vi,Ahri,Corki,Rakan,K'Sante,Pantheon,Taliyah,Kai'Sa,Alistar,19
LTA S,Isurus Estral,paiN Gaming,Gnar,Lillia,Yone,Miss Fortune,Nautilus,Jax,Sejuani,Taliyah,Jhin,Rell,27
LEC,G2 Esports,SK Gaming,Jax,Wukong,Azir,Caitlyn,Braum,Gragas,Xin Zhao,Ryze,Miss Fortune,Rell,24
LTA S,paiN Gaming,Isurus Estral,Galio,Naafiri,Orianna,Kalista,Soraka,Rumble,Poppy,Akali,Draven,Renata Glasc,28
LTA S,Leviatan,Vivo Keyd Stars,Rumble,Xin Zhao,Neeko,Ashe,Nautilus,Sion,Pantheon,Taliyah,Miss Fortune,Rell,18
LEC,Team Vitality,Karmine Corp,Gwen,Poppy,Yone,Kai'Sa,Neeko,Rumble,Vi,Sylas,Varus,Leona,35
LTA S,Vivo Keyd Stars,Leviatan,Aatrox,Vi,Ryze,Lucian,Nami,Ambessa,Sejuani,Cassiopeia,Corki,Rakan,16
LEC,Team Vitality,Karmine Corp,Gnar,Xin Zhao,Taliyah,Jhin,Karma,Kennen,Naafiri,Ryze,Miss Fortune,Rell,47
LTA N,Cloud9,Team Liquid,Galio,Naafiri,Taliyah,Miss Fortune,Alistar,Rumble,Pantheon,Azir,Ezreal,Poppy,23
LEC,Karmine Corp,Team Vitality,Jax,Pantheon,Viktor,Kog'Maw,Braum,Aatrox,Sejuani,Aurelion Sol,Corki,Nami,25
LTA N,Shopify Rebellion,100 Thieves,Rumble,Pantheon,Taliyah,Ezreal,Nautilus,Gwen,Naafiri,Viktor,Jhin,Leona,33
LTA N,Shopify Rebellion,100 Thieves,Sion,Xin Zhao,Ahri,Xayah,Rakan,Renekton,Nidalee,Yone,Smolder,Alistar,33
LTA N,100 Thieves,Shopify Rebellion,Irelia,Nocturne,Azir,Miss Fortune,Rell,Gnar,Maokai,Xerath,Lucian,Milio,18
LCK,Nongshim RedForce,DN Freecs,Gwen,Pantheon,Taliyah,Ezreal,Leona,Ambessa,Sejuani,Yone,Miss Fortune,Neeko,46
LCK,DN Freecs,Nongshim RedForce,Rumble,Wukong,Ryze,Lucian,Sett,Anivia,Xin Zhao,Ahri,Kai'Sa,Nautilus,26
LPL,LGD Gaming,Ultra Prime,Ambessa,Pantheon,Galio,Corki,Nautilus,Yorick,Vi,Taliyah,Miss Fortune,Alistar,25
LCK,Nongshim RedForce,DN Freecs,Jayce,Maokai,Sylas,Jinx,Lulu,Sion,Nocturne,Annie,Xayah,Rakan,12
LPL,Ultra Prime,LGD Gaming,Shen,Xin Zhao,Ryze,Ezreal,Rell,Sion,Naafiri,Annie,Varus,Braum,22
LPL,LGD Gaming,Ultra Prime,Udyr,Sejuani,Yone,Caitlyn,Karma,K'Sante,Wukong,Viktor,Kai'Sa,Neeko,35
LCK,Hanwha Life Esports,DRX,Gwen,Xin Zhao,Ahri,Jhin,Rell,Aurora,Pantheon,Ryze,Miss Fortune,Neeko,31
LCP,Team Secret Whales,MGN Vikings Esports,Ambessa,Vi,Aurora,Ezreal,Leona,Rumble,Pantheon,Viktor,Jhin,Alistar,34
LCK,DRX,Hanwha Life Esports,Jayce,Poppy,Azir,Varus,Karma,Nidalee,Skarner,Viktor,Kalista,Renata Glasc,37
LPL,Weibo Gaming,ThunderTalk Gaming,K'Sante,Pantheon,Taliyah,Varus,Rell,Rumble,Xin Zhao,Ahri,Lucian,Nami,23
LCP,MGN Vikings Esports,Team Secret Whales,Gwen,Zyra,Corki,Ornn,Senna,Jayce,Viego,Ryze,Ashe,Braum,23
LPL,ThunderTalk Gaming,Weibo Gaming,Yorick,Vi,Ryze,Ezreal,Karma,Ambessa,Naafiri,Galio,Kalista,Renata Glasc,26
LCP,CTBC Flying Oyster,DetonatioN FocusMe,Rumble,Pantheon,Azir,Xayah,Rakan,Ornn,Naafiri,Taliyah,Lucian,Nami,31
LPL,Weibo Gaming,ThunderTalk Gaming,Gnar,Skarner,Viktor,Jhin,Leona,Renekton,Zyra,Yasuo,Miss Fortune,Alistar,22
LCP,DetonatioN FocusMe,CTBC Flying Oyster,Sion,Xin Zhao,Ryze,Miss Fortune,Leona,Sett,Vi,Ahri,Ezreal,Braum,35
LPL,Top Esports,JD Gaming,Sion,Pantheon,Viktor,Varus,Nautilus,Ornn,Xin Zhao,Aurora,Kai'Sa,Neeko,32
LPL,JD Gaming,Top Esports,K'Sante,Kindred,Azir,Kalista,Renata Glasc,Renekton,Nidalee,Yone,Ezreal,Karma,17
LTA S,FURIA,Fluxo W7M,Rumble,Pantheon,Ahri,Jhin,Nautilus,Ryze,Naafiri,Taliyah,Ashe,Rell,41
LEC,SK Gaming,Team Vitality,Gragas,Vi,Taliyah,Ezreal,Leona,Aatrox,Pantheon,Viktor,Jhin,Neeko,37
LTA S,Fluxo W7M,FURIA,Jayce,Dr. Mundo,Akali,Zeri,Lulu,Sion,Skarner,LeBlanc,Lucian,Nami,17
LEC,Team Vitality,SK Gaming,Rumble,Naafiri,Annie,Kai'Sa,Poppy,Gwen,Sejuani,Corki,Tristana,Alistar,46
LTA S,FURIA,Fluxo W7M,Gwen,Jax,Sylas,Corki,Neeko,Shen,Xin Zhao,Cassiopeia,Ezreal,Leona,31
LEC,G2 Esports,Karmine Corp,Jax,Xin Zhao,Galio,Varus,Nautilus,Gnar,Vi,Sylas,Kai'Sa,Neeko,26
LTA S,LOUD,RED Canids,Ambessa,Pantheon,Taliyah,Miss Fortune,Nautilus,Rumble,Xin Zhao,Ahri,Ezreal,Rell,38
LEC,Karmine Corp,G2 Esports,Gwen,Naafiri,Taliyah,Ezreal,Alistar,Shen,Lillia,Viktor,Caitlyn,Braum,21
LTA S,LOUD,RED Canids,Gwen,Poppy,Syndra,Lucian,Nami,Renekton,Vi,Ryze,Xayah,Rakan,20
LEC,G2 Esports,Karmine Corp,Warwick,Dr. Mundo,Yone,Kalista,Rell,Ambessa,Sejuani,Azir,Miss Fortune,Rakan,25
LTA S,RED Canids,LOUD,Gnar,Skarner,Viktor,Kai'Sa,Neeko,Aatrox,Nocturne,Aurora,Ashe,Alistar,37
LTA N,FlyQuest,Dignitas,Nidalee,Xin Zhao,Azir,Varus,Neeko,Jayce,Sejuani,Viktor,Ezreal,Rakan,25
LTA N,Dignitas,FlyQuest,Rumble,Skarner,Sylas,Jhin,Poppy,Galio,Pantheon,Taliyah,Sivir,Alistar,19
LTA N,Disguised,LYON,Rumble,Pantheon,Tristana,Corki,Alistar,Ambessa,Maokai,Yone,Kalista,Renata Glasc,25
LTA N,Disguised,LYON,Nidalee,Xin Zhao,Taliyah,Ezreal,Leona,Jayce,Skarner,Ahri,Ashe,Braum,40
LCKC,KT Rolster Challengers,DN Freecs Challengers,Galio,Naafiri,Azir,Lucian,Braum,Rumble,Pantheon,Yone,Miss Fortune,Alistar,26
LCKC,DN Freecs Challengers,KT Rolster Challengers,Ambessa,Xin Zhao,Taliyah,Xayah,Rakan,Renekton,Trundle,Ahri,Ezreal,Poppy,32
LCKC,KT Rolster Challengers,DN Freecs Challengers,Gnar,Nidalee,Corki,Varus,Neeko,Yorick,Wukong,Viktor,Kalista,Renata Glasc,32
LCKC,Dplus KIA Challengers,BNK FEARX Youth,Gwen,Xin Zhao,Ahri,Miss Fortune,Alistar,Rumble,Pantheon,Yone,Lucian,Braum,33
LCKC,Dplus KIA Challengers,BNK FEARX Youth,Jayce,Skarner,Viktor,Jhin,Leona,Renekton,Lillia,Diana,Kai'Sa,Nautilus,29
LPL,ThunderTalk Gaming,Anyone's Legend,Yorick,Sejuani,Yone,Miss Fortune,Rell,Sion,Naafiri,Annie,Varus,Nautilus,30
LCKC,Gen.G Global Academy,T1 Esports Academy,Sion,Naafiri,Galio,Varus,Neeko,Jayce,Sejuani,Viktor,Kalista,Camille,39
LPL,ThunderTalk Gaming,Anyone's Legend,Jayce,Vi,Aurora,Lucian,Nami,Nasus,Pantheon,Ryze,Ezreal,Neeko,39
LCKC,Gen.G Global Academy,T1 Esports Academy,Renekton,Nidalee,Orianna,Miss Fortune,Nautilus,Gnar,Lillia,Corki,Jhin,Leona,23
LPL,Ninjas in Pyjamas,FunPlus Phoenix,Rumble,Vi,Akali,Varus,Rell,Gwen,Xin Zhao,Taliyah,Jhin,Poppy,31
LCKC,T1 Esports Academy,Gen.G Global Academy,Jax,Xin Zhao,Ryze,Zeri,Lulu,Aatrox,Pantheon,Ahri,Lucian,Nami,19
LPL,FunPlus Phoenix,Ninjas in Pyjamas,Yorick,Naafiri,Aurora,Miss Fortune,Nautilus,Sion,Wukong,Viktor,Lucian,Leona,28
LEC,Team Heretics,GiantX,Gwen,Maokai,Tristana,Jhin,Rell,Jax,Nidalee,Sion,Kai'Sa,Gragas,21
LEC,Team Heretics,GiantX,Jayce,Sejuani,Viktor,Ezreal,Rakan,Ornn,Xin Zhao,Sylas,Miss Fortune,Nautilus,23
LEC,Rogue,Movistar KOI,Yorick,Pantheon,Taliyah,Kai'Sa,Rell,Ambessa,Vi,Ahri,Xayah,Rakan,24
LEC,Rogue,Movistar KOI,Aurora,Xin Zhao,Orianna,Varus,Karma,Rumble,Naafiri,Azir,Kalista,Renata Glasc,32
CD,KaBuM! Ilha das Lendas,RED Academy,Jax,Naafiri,Viktor,Kai'Sa,Nautilus,Renekton,Pantheon,Ryze,Lucian,Braum,43
CD,Corinthians Esports,Vivo Keyd Stars Academy,Jayce,Xin Zhao,Ahri,Lucian,Nami,Gwen,Sejuani,Corki,Miss Fortune,Rakan,23
CD,Vivo Keyd Stars Academy,Corinthians Esports,Rumble,Vi,Taliyah,Kalista,Renata Glasc,Ambessa,Pantheon,Galio,Ashe,Rell,41
CD,Vivo Keyd Stars Academy,Corinthians Esports,Gnar,Poppy,Azir,Jhin,Alistar,Renekton,Nidalee,Tristana,Kai'Sa,Elise,28
LCKC,OKSavingsBank BRION Challengers,Nongshim Esports Academy,Rumble,Pantheon,Taliyah,Jinx,Nautilus,Jayce,Xin Zhao,Ahri,Xayah,Leona,25
LCKC,OKSavingsBank BRION Challengers,Nongshim Esports Academy,Gwen,Wukong,Annie,Varus,Rell,Ambessa,Skarner,Viktor,Ezreal,Braum,18
LCKC,Nongshim Esports Academy,OKSavingsBank BRION Challengers,Renekton,Nidalee,Corki,Miss Fortune,Alistar,K'Sante,Ivern,Tristana,Jhin,Gragas,19
LPL,Ninjas in Pyjamas,Bilibili Gaming,Sion,Wukong,Akali,Zeri,Braum,Ornn,Xin Zhao,Orianna,Kai'Sa,Poppy,32
LPL,Bilibili Gaming,Ninjas in Pyjamas,Yorick,Sejuani,Sylas,Xayah,Rakan,Renekton,Maokai,Kled,Miss Fortune,Rell,41
LCKC,Hanwha Life Esports Challengers,DRX Challengers,Jayce,Zyra,Corki,Jhin,Alistar,Sion,Ivern,Tristana,Miss Fortune,Nautilus,21
LPL,Invictus Gaming,JD Gaming,Yorick,Naafiri,Taliyah,Ezreal,Leona,Jax,Pantheon,Azir,Miss Fortune,Rell,22
LPL,JD Gaming,Invictus Gaming,K'Sante,Jarvan IV,Orianna,Varus,Nautilus,Jayce,Wukong,Annie,Jhin,Alistar,31
HM,Entropiq,eSuba,Gnar,Xin Zhao,Azir,Jhin,Alistar,Yorick,Maokai,Yone,Varus,Bard,24
HM,eSuba,Entropiq,Shen,Lillia,Zed,Miss Fortune,Nautilus,Ambessa,Naafiri,Taliyah,Lucian,Braum,24
HM,eSuba,Entropiq,Jayce,Skarner,Sylas,Jinx,Lulu,Ornn,Pantheon,Annie,Corki,Rell,31
PRM,Unicorns of Love Sexy Edition,Berlin International Gaming,Rumble,Viego,Taliyah,Sivir,Alistar,K'Sante,Sejuani,Yone,Varus,Fiddlesticks,35
PRM,TeamOrangeGaming,Kaufland Hangry Knights,Jayce,Sejuani,Taliyah,Ezreal,Bard,Sion,Kindred,Annie,Miss Fortune,Alistar,35
HM,Entropiq,eSuba,Gwen,Nocturne,Orianna,Ashe,Galio,Kennen,Wukong,Viktor,Tristana,Rakan,38
PRM,Kaufland Hangry Knights,TeamOrangeGaming,Renekton,Skarner,Azir,Varus,Neeko,Nidalee,Pantheon,Ahri,Jhin,Rakan,29
PRM,Unicorns of Love Sexy Edition,Berlin International Gaming,Aatrox,Vi,Galio,Lucian,Nami,Gnar,Maokai,Viktor,Ezreal,Pyke,22
PRM,TeamOrangeGaming,Kaufland Hangry Knights,Jax,Vi,Aurelion Sol,Jinx,Rell,Gwen,Jarvan IV,Viktor,Xayah,Nautilus,33
PRM,Austrian Force willhaben,Eintracht Frankfurt,Ambessa,Naafiri,Orianna,Kalista,Renata Glasc,Yorick,Skarner,Azir,Varus,Rell,21
LEC,Team Heretics,Team Vitality,Aatrox,Naafiri,Ahri,Varus,Nautilus,Gnar,Xin Zhao,Azir,Jhin,Renata Glasc,24
PRM,Austrian Force willhaben,Eintracht Frankfurt,Jax,Lillia,Tristana,Xayah,Leona,Shen,Jarvan IV,Ryze,Miss Fortune,Nautilus,33
LRS,Farenvehn,Maze Gaming,Aatrox,Vi,Ahri,Jhin,Alistar,Renekton,Naafiri,Akali,Miss Fortune,Rell,23
PRM,Austrian Force willhaben,Eintracht Frankfurt,Sion,Viego,Syndra,Kai'Sa,Alistar,K'Sante,Maokai,Sylas,Jhin,Rakan,30
LRS,Farenvehn,Maze Gaming,Rumble,Wukong,Ryze,Varus,Renata Glasc,Galio,Xin Zhao,Orianna,Lucian,Rakan,28
CD,Dopamina E-Sport,Flamengo MDL,Sion,Vi,Ahri,Jhin,Rakan,Aatrox,Sejuani,Ryze,Xayah,Neeko,21
CD,Dopamina E-Sport,Flamengo MDL,Rumble,Pantheon,Akali,Ashe,Braum,Ambessa,Maokai,Azir,Miss Fortune,Pyke,42
LRS,Farenvehn,Maze Gaming,Sion,Nidalee,Yone,Corki,Nautilus,Mordekaiser,Lillia,Tristana,Ashe,Leona,18
CD,Rise Gaming,Los Grandes,Gwen,Xin Zhao,Yone,Jhin,Leona,Jayce,Sejuani,Aurora,Corki,Rell,18
LRS,Maze Gaming,Farenvehn,Jayce,Skarner,Hwei,Zeri,Braum,Yorick,Sejuani,Viktor,Ezreal,Karma,29
CD,Rise Gaming,Los Grandes,Sion,Naafiri,Ahri,Xayah,Nautilus,Rumble,Vi,Swain,Miss Fortune,Alistar,31
LCK,BNK FEARX,Nongshim RedForce,Rumble,Xin Zhao,Azir,Kai'Sa,Neeko,Jayce,Pantheon,Ahri,Kalista,Shen,31
LCK,Nongshim RedForce,BNK FEARX,Aatrox,Sejuani,Yone,Miss Fortune,Elise,Sion,Maokai,Tristana,Lucian,Milio,27
LPL,Weibo Gaming,JD Gaming,Gwen,Xin Zhao,Taliyah,Ezreal,Alistar,Rumble,Vi,Sylas,Kai'Sa,Rakan,43
LCK,BNK FEARX,Nongshim RedForce,Gwen,Nocturne,Annie,Jinx,Lulu,Ambessa,Poppy,Ryze,Xayah,Blitzcrank,29
LCK,DRX,Dplus KIA,Gnar,Pantheon,Azir,Kai'Sa,Neeko,Gwen,Sejuani,Yone,Miss Fortune,Fiddlesticks,31
LPL,Top Esports,Team WE,Sion,Naafiri,Ryze,Kalista,Renata Glasc,Yorick,Pantheon,Ahri,Varus,Alistar,20
LCK,DRX,Dplus KIA,Sion,Xin Zhao,Taliyah,Lucian,Braum,Jayce,Lee Sin,Annie,Ezreal,Rell,33
LPL,Team WE,Top Esports,Renekton,Skarner,Azir,Ashe,Nautilus,Ornn,Xin Zhao,Sylas,Ezreal,Karma,31
LCK,Dplus KIA,DRX,Camille,Naafiri,Galio,Varus,Alistar,Rumble,Wukong,Ahri,Xayah,Gragas,28
HM,Nightbirds,Team UNiTY,Rumble,Sejuani,Jayce,Sivir,Rakan,Sion,Maokai,Yone,Ashe,Seraphine,23
TCL,ULF Esports,Bushido Wildcats,Sion,Pantheon,Azir,Miss Fortune,Nautilus,Aatrox,Xin Zhao,Ahri,Ezreal,Rell,41
HM,Team UNiTY,Nightbirds,K'Sante,Xin Zhao,Azir,Jinx,Lulu,Jax,Lee Sin,Orianna,Miss Fortune,Leona,28
TCL,Bushido Wildcats,ULF Esports,Gwen,Naafiri,Corki,Jhin,Neeko,Rumble,Viego,Galio,Sivir,Alistar,24
LVP SL,UCAM Esports,LUA Gaming,Rumble,Poppy,Taliyah,Varus,Leona,Ambessa,Naafiri,Hwei,Ezreal,Neeko,43
NLC,Bulldog Esports,Verdant,Jayce,Vi,Viktor,Kai'Sa,Nautilus,Sion,Naafiri,Taliyah,Kalista,Renata Glasc,23
LFL,Solary,Team BDS Academy,Gwen,Pantheon,Ahri,Jhin,Karma,Rumble,Xin Zhao,Taliyah,Kai'Sa,Neeko,27
HM,Team UNiTY,Nightbirds,Gwen,Pantheon,Viktor,Lucian,Nami,Gnar,Zac,Yasuo,Ziggs,Rell,41
PRM,Eintracht Spandau,E WIE EINFACH E-SPORTS,Jayce,Sejuani,Syndra,Varus,Sylas,Malphite,Xin Zhao,Orianna,Corki,Alistar,20
NLC,Bulldog Esports,Verdant,Gnar,Xin Zhao,Orianna,Draven,Rakan,Malphite,Pantheon,Mel,Miss Fortune,Braum,30
LFL,Team BDS Academy,Solary,Jayce,Sejuani,Sylas,Sivir,Rakan,Ambessa,Maokai,Akali,Ezreal,Rell,51
LVP SL,LUA Gaming,UCAM Esports,Gnar,Xin Zhao,Ahri,Ashe,Braum,Renekton,Nidalee,Corki,Tristana,Rell,21
TCL,Bushido Wildcats,ULF Esports,Shen,Ivern,Jayce,Kai'Sa,Leona,Yorick,Wukong,Annie,Xayah,Rakan,26
PRM,E WIE EINFACH E-SPORTS,Eintracht Spandau,K'Sante,Viego,Ahri,Ezreal,Nautilus,Rumble,Skarner,Mel,Miss Fortune,Pantheon,42
NLC,Verdant,Bulldog Esports,Jax,Sejuani,Hwei,Corki,Poppy,K'Sante,Lillia,Syndra,Tristana,Rell,28
LVP SL,Barça eSports,Veni Vidi Vici,Galio,Naafiri,Taliyah,Lucian,Nami,Rumble,Pantheon,Tristana,Corki,Rakan,20
TCL,ULF Esports,Bushido Wildcats,Renekton,Lillia,Sylas,Varus,Braum,Nidalee,Maokai,Akali,Kalista,Blitzcrank,35
LFL,GameWard,Joblife,Ambessa,Naafiri,Orianna,Varus,Braum,Rumble,Xin Zhao,Azir,Jhin,Leona,16
PRM,Eintracht Spandau,E WIE EINFACH E-SPORTS,Ornn,Nocturne,Viktor,Sivir,Bard,Sion,Naafiri,Galio,Zeri,Rakan,44
LVP SL,Barça eSports,Veni Vidi Vici,Gnar,Wukong,Ahri,Varus,Alistar,Sylas,Viego,Swain,Miss Fortune,Rell,45
NLC,Bulldog Esports,Verdant,Renekton,Maokai,Ryze,Jinx,Alistar,Aatrox,Ivern,Cassiopeia,Caitlyn,Leona,21
TCL,Bushido Wildcats,ULF Esports,Ambessa,Volibear,Syndra,Caitlyn,Karma,Kennen,Lee Sin,Ryze,Lucian,Nami,20
LFL,GameWard,Joblife,Kennen,Sejuani,Yone,Ashe,Lulu,Gnar,Pantheon,Aurora,Miss Fortune,Rell,33
LVP SL,Barça eSports,Veni Vidi Vici,Sion,Skarner,Aurelion Sol,Kai'Sa,Neeko,Aatrox,Lillia,Viktor,Xayah,Leona,40
PRM,ROSSMANN Centaurs,CGN Esports,Sion,Vi,Cassiopeia,Zeri,Lulu,Yorick,Shyvana,Yone,Sivir,Sona,23
CD,Stellae Gaming,RATZ,Sion,Nocturne,Ahri,Varus,Neeko,Jayce,Maokai,Corki,Ashe,Bard,26
PRM,ROSSMANN Centaurs,CGN Esports,Shen,Xin Zhao,Azir,Ezreal,Karma,Dr. Mundo,Nocturne,Viktor,Kalista,Neeko,44
CD,Stellae Gaming,RATZ,Rumble,Pantheon,Azir,Jhin,Rell,Aurora,Skarner,Zed,Miss Fortune,Leona,39
CD,Corinthians Esports,RED Academy,Ambessa,Pantheon,Taliyah,Miss Fortune,Neeko,Rumble,Xin Zhao,Zed,Jhin,Karma,30
CD,RED Academy,Corinthians Esports,Jayce,Nidalee,Yone,Ezreal,Rell,Yorick,Sejuani,Viktor,Ashe,Alistar,37
LCKC,DN Freecs Challengers,Dplus KIA Challengers,Sion,Pantheon,Azir,Xayah,Alistar,Ambessa,Xin Zhao,Taliyah,Lucian,Rakan,33
LCKC,Gen.G Global Academy,KT Rolster Challengers,Jayce,Pantheon,Ahri,Lucian,Nami,Gwen,Skarner,Taliyah,Varus,Karma,34
LCKC,DRX Challengers,Nongshim Esports Academy,Jayce,Pantheon,Ryze,Xayah,Rakan,Gwen,Naafiri,Taliyah,Lucian,Nautilus,26
LCKC,Dplus KIA Challengers,DN Freecs Challengers,Jayce,Sejuani,Yone,Ezreal,Leona,Yorick,Wukong,Ahri,Kai'Sa,Nautilus,40
LCKC,Nongshim Esports Academy,DRX Challengers,Aatrox,Xin Zhao,Sylas,Kai'Sa,Leona,Ambessa,Sejuani,Viktor,Ezreal,Rell,23
LCKC,Gen.G Global Academy,KT Rolster Challengers,Rumble,Lee Sin,Viktor,Jhin,Nautilus,Galio,Jarvan IV,Azir,Ezreal,Rell,49
LCKC,KT Rolster Challengers,Gen.G Global Academy,Gnar,Nidalee,Corki,Zeri,Alistar,Renekton,Lillia,Orianna,Aphelios,Rakan,40
LCKC,DN Freecs Challengers,Dplus KIA Challengers,Gwen,Nidalee,Corki,Jhin,Karma,Rumble,Viego,Ryze,Miss Fortune,Blitzcrank,24
LCK,KT Rolster,Hanwha Life Esports,Gwen,Wukong,Ahri,Jhin,Leona,Kennen,Pantheon,Taliyah,Ezreal,Rell,27
LCK,KT Rolster,Hanwha Life Esports,Sion,Nidalee,Corki,Ashe,Braum,Jayce,Skarner,Viktor,Varus,Bard,21
LCK,Hanwha Life Esports,KT Rolster,Ambessa,Sejuani,Azir,Lucian,Elise,Yorick,Jarvan IV,Annie,Kalista,Neeko,43
LPL,Ninjas in Pyjamas,Anyone's Legend,Yorick,Vi,Viktor,Tristana,Neeko,Sion,Wukong,Taliyah,Miss Fortune,Rakan,31
LCK,T1,OKSavingsBank BRION,Gwen,Xin Zhao,Sylas,Jhin,Rell,Ambessa,Pantheon,Viktor,Miss Fortune,Braum,35
LPL,Anyone's Legend,Ninjas in Pyjamas,Jayce,Poppy,Sylas,Kalista,Renata Glasc,Ambessa,Sejuani,Karma,Zeri,Milio,12
LCK,OKSavingsBank BRION,T1,Yorick,Wukong,Taliyah,Ashe,Poppy,Jayce,Naafiri,Ahri,Ezreal,Alistar,20
LPL,Team WE,ThunderTalk Gaming,Rumble,Xin Zhao,Taliyah,Ezreal,Braum,Gwen,Pantheon,Ahri,Miss Fortune,Alistar,25
LCK,T1,OKSavingsBank BRION,Jax,Talon,Azir,Xayah,Rakan,Shen,Trundle,Zoe,Lucian,Nami,24
LPL,ThunderTalk Gaming,Team WE,Sion,Wukong,Hwei,Lucian,Nami,K'Sante,Naafiri,Ryze,Kai'Sa,Nautilus,43
HM,Tan'i eSports CZ,Team UNiTY,Gnar,Vi,Azir,Kai'Sa,Nautilus,Gwen,Naafiri,Taliyah,Jhin,Leona,40
TCL,Beşiktaş Esports,BBL Dark Passage,Yorick,Sejuani,Viktor,Varus,Rell,Ambessa,Pantheon,Taliyah,Ezreal,Alistar,35
